data,label,segments
/home/kong/Downloads/caffe-sal/data/DUT-train/im/n03445777_8954.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/n03445777_8954.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/n03445777_8954.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/n04509417_12194.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/n04509417_12194.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/n04509417_12194.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/n04273569_15644.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/n04273569_15644.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/n04273569_15644.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/ILSVRC2014_train_00051997.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/ILSVRC2014_train_00051997.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/ILSVRC2014_train_00051997.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/n03710721_6155.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/n03710721_6155.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/n03710721_6155.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/n03761084_13604.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/n03761084_13604.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/n03761084_13604.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/ILSVRC2013_test_00008531.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/ILSVRC2013_test_00008531.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/ILSVRC2013_test_00008531.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/sun_adbvepquncrfwbft.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/sun_adbvepquncrfwbft.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/sun_adbvepquncrfwbft.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/ILSVRC2014_train_00011482.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/ILSVRC2014_train_00011482.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/ILSVRC2014_train_00011482.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/n07930864_21417.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/n07930864_21417.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/n07930864_21417.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/n04285008_783.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/n04285008_783.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/n04285008_783.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/n03775546_2217.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/n03775546_2217.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/n03775546_2217.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/n03950228_32053.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/n03950228_32053.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/n03950228_32053.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/n07930864_8829.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/n07930864_8829.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/n07930864_8829.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/ILSVRC2012_test_00006822.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/ILSVRC2012_test_00006822.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/ILSVRC2012_test_00006822.png
/home/kong/Downloads/caffe-sal/data/DUT-train/im/ILSVRC2012_test_00065055.jpg,/home/kong/Downloads/caffe-sal/data/DUT-train/mask/ILSVRC2012_test_00065055.png,/home/kong/Downloads/caffe-sal/data/DUT-train/segments-ssn/ILSVRC2012_test_00065055.png
